"","curv_meth","vcmax","jmax","tpu","leaf_id","treeid","leaf_unique","V_cmax_se","J_se","V_TPU_se","fit_type"
"1","DAT",16.5456141574579,24.0438874334357,1.70353431887959,"K6702L1","K6702","K6702L1",0.291899261249273,0.0696769597431415,"0.00978855750772899","tpu"
"2","DAT",21.6297397447311,48.8325857442943,4.73601217387981,"K6704L1","K6704","K6704L1",0.271866812052928,0.0347332150404064,"0.0113070131020347","tpu"
"3","DAT",17.8512103487552,47.816558170272,4.58258029883164,"K6704L2","K6704","K6704L2",0.191999519867041,0.0528471879220819,"0.0105535636108613","tpu"
"4","DAT",19.8007958923064,39.8466904492059,NA,"K6705L1","K6705","K6705L1",0.193910131637346,0.0217217764081788,"NA","tpu"
"5","DAT",19.9828705467616,38.6230457274026,NA,"K6705L1-1","K6705","K6705L1",0.214081231313436,0.0207680551345341,"NA","tpu"
"6","DAT",24.3861283151564,44.7247354449693,3.57638669941879,"K6705L2","K6705","K6705L2",0.302769347228937,0.0483625770724659,"0.0070309264634975","tpu"
"7","DAT",30.9208414580747,51.1722452473344,2.7216147545394,"K6706L1","K6706","K6706L1",0.344585492413491,0.383664930705729,"0.0165933408639546","tpu"
"8","DAT",31.4610681530708,54.9516034629297,5.3172172945457,"K6706L2","K6706","K6706L2",0.559963382912914,0.0645236678427891,"0.01387829361198","tpu"
"9","DAT",68.8906944655952,101.097124486597,6.12208809463161,"K6707L1","K6707","K6707L1",0.56756132607041,0.20339226006128,"0.012328876858108","tpu"
"10","DAT",69.4795854500553,97.3407146479852,6.03349096650224,"K6707L1-1","K6707","K6707L1",0.523246135325013,0.156403474776885,"0.0160322067250297","tpu"
"11","DAT",78.5614521133701,106.174837151787,6.28840354528836,"K6707L2","K6707","K6707L2",1.58561054153359,0.505738611669072,"0.0140202237851729","tpu"
"12","DAT",81.7183955169771,118.569182032705,6.45774801337045,"K6707L2-2","K6707","K6707L2",1.15392524746402,0.496480306357517,"0.0156562973924762","tpu"
"13","DAT",28.1797617200081,46.8819951703518,NA,"K6708L1","K6708","K6708L1",0.273331944319616,0.0417803878431729,"NA","tpu"
"14","DAT",24.0520951489778,42.1995272260787,NA,"K6708L2","K6708","K6708L2",0.257865637958408,0.0237643241502948,"NA","tpu"
"15","DAT",61.7510822859247,78.1879192066518,NA,"K6709L2","K6709","K6709L2",1.22553027169983,0.0904650093206609,"NA","tpu"
"16","DAT",55.7815129620554,91.0194012760611,6.82646805631678,"K6709L2-2","K6709","K6709L2",1.58448544284633,0.157811416297981,"0.0124906290687329","tpu"
"17","DAT",49.2687228958639,48.4614259428933,5.7309877931595,"K6709L6","K6709","K6709L6",1.11536941264428,0.269553871585993,"0.0321365211374862","tpu"
"18","DAT",67.3598474663585,100.702745026222,8.38593226707374,"K6709L8","K6709","K6709L8",0.496621421621119,0.0447785214361416,"0.0240301007483387","tpu"
"19","DAT",24.4860059991244,35.7066467251784,3.39187766957828,"K6713L1","K6713","K6713L1",0.490282330420582,0.0272261168151667,"0.0143502098771843","tpu"
"20","DAT",20.2305509328798,37.0010183559684,NA,"K6713L2","K6713","K6713L2",0.236606560006704,0.0176096484733863,"NA","tpu"
"21","DAT",32.0076820095384,49.931043900147,4.29089511445776,"K6713L3","K6713","K6713L3",0.348277907119932,0.0381872725456599,"0.00787540600704901","tpu"
"22","DAT",23.0067367559797,23.218675570095,0.943666200399617,"K6714L1","K6714","K6714L1",0.773196548685771,0.229040181030155,"0.00830810180855047","tpu"
"23","DAT",25.0389922097588,11.8076211710677,1.55586437379536,"K6714L2","K6714","K6714L2",1.0885077618616,0.05337475786492,"0.0190484931532063","tpu"
"24","DAT",21.672805171821,40.8078315428949,3.95796664727525,"K6715L1","K6715","K6715L1",0.21066379245947,0.0291080561197882,"0.0117714775324755","tpu"
"25","DAT",20.871240917652,35.8679723390407,3.4893123780843,"K6715L1-1","K6715","K6715L1",0.200973150140061,0.0297038408591383,"0.0123199742235202","tpu"
"26","DAT",28.6287327046394,48.5152329830065,NA,"K6715L2","K6715","K6715L2",0.332070465593589,0.0247860311173887,"NA","tpu"
"27","DAT",34.6502834486047,53.0582388372683,NA,"K6716L1","K6716","K6716L1",0.577255672517748,0.0475059154732794,"NA","tpu"
"28","DAT",32.892113016391,55.4407010640489,4.2526184170102,"K6716L2","K6716","K6716L2",0.318921028414021,0.0842697290161969,"0.00614216908824103","tpu"
"29","DAT",39.337866903564,66.2664555044347,NA,"K6717L1","K6717","K6717L1",0.446390605946728,0.0328021954000057,"NA","tpu"
"30","DAT",41.0848486250781,71.0002396016449,NA,"K6717L2","K6717","K6717L2",0.496040380016467,0.0416667254081029,"NA","tpu"
"31","DAT",15.7744395631963,36.33888720898,3.62792725231949,"K6718L1","K6718","K6718L1",0.257476599079873,0.0341241284222428,"0.0112550038519973","tpu"
"32","DAT",9.98912045969237,22.7545415458124,2.25752211814606,"K6718L2","K6718","K6718L2",0.148616410149381,0.0185772121089262,"0.00818254993952407","tpu"
"110","SS",15.7223884365012,31.4973246908629,NA,"K6702L1","K6702","K6702L1",0.547750078993128,0.112407534884126,"NA","tpu"
"210","SS",24.4803926555908,58.3880951288816,NA,"K6704L1","K6704","K6704L1",1.24491056292748,0.266370549437625,"NA","tpu"
"33","SS",20.1850378784446,51.6187552510138,NA,"K6704L2","K6704","K6704L2",1.18775117284333,0.263060111831714,"NA","tpu"
"41","SS",19.7794962782652,36.5961509135292,NA,"K6705L1","K6705","K6705L1",0.518672269660284,0.151184579293191,"NA","tpu"
"51","SS",23.8766834288716,43.1898808859999,NA,"K6705L2","K6705","K6705L2",0.765845662743737,0.131569333152491,"NA","tpu"
"61","SS",32.7284411473156,55.4266382852899,4.34223912370956,"K6706L1","K6706","K6706L1",0.77783500913697,0.22982486213999,"0.0561697194136871","tpu"
"71","SS",34.3921159858005,68.070527959281,NA,"K6706L2","K6706","K6706L2",0.505307115864926,0.163952897355206,"NA","tpu"
"81","SS",64.2091260768729,102.756705932331,8.04626478330976,"K6707L1","K6707","K6707L1",2.05010543731267,0.309799219864613,"0.0193289981090909","tpu"
"91","SS",83.1848039035558,120.503226013395,9.35539446292539,"K6707L2","K6707","K6707L2",1.28059194262363,0.503392284692429,"0.0765257698627493","tpu"
"101","SS",26.7403772016636,49.8467252331649,NA,"K6708L1","K6708","K6708L1",0.674053165573321,0.25683969001215,"NA","tpu"
"111","SS",24.7520492452971,48.0803797832776,NA,"K6708L2","K6708","K6708L2",1.12564010901224,0.195522659955657,"NA","tpu"
"121","SS",61.8151266158906,97.1939705571186,NA,"K6709L2-2","K6709","K6709L2",3.26789503898502,1.32952014704974,"NA","tpu"
"141","SS",64.1307599131195,109.400168006773,7.97056721592577,"K6709L6","K6709","K6709L6",2.05005011273057,0.327020727047092,"0.157028363700111","tpu"
"151","SS",63.9907048708024,105.934715873284,NA,"K6709L8","K6709","K6709L8",3.50577452612926,1.5773889554627,"NA","tpu"
"161","SS",25.868280224573,44.2928150860518,NA,"K6713L1","K6713","K6713L1",0.427917925496404,0.123106072585095,"NA","tpu"
"171","SS",18.9133593639251,38.423226025503,NA,"K6713L2","K6713","K6713L2",1.08539758867756,0.115488139975888,"NA","tpu"
"181","SS",33.9742666832721,52.4084540689175,NA,"K6713L3","K6713","K6713L3",0.576192936453848,0.195635499771312,"NA","tpu"
"191","SS",21.954821715549,29.0604805724519,2.45133034198034,"K6714L1","K6714","K6714L1",0.0632285667095377,0.239218252220363,"0.0343135793727552","tpu"
"201","SS",23.6747505602201,35.4767218600461,2.71643712734897,"K6714L2","K6714","K6714L2",0.728644646144699,0.40246586080606,"0.0451856106863188","tpu"
"211","SS",22.0753110254231,45.9968152162558,NA,"K6715L1","K6715","K6715L1",0.452136813887309,0.157767967918057,"NA","tpu"
"221","SS",28.547321190725,54.9771682074288,NA,"K6715L2","K6715","K6715L2",0.525425987424919,0.143423485481895,"NA","tpu"
"231","SS",36.9666800180096,62.09438847834,NA,"K6716L1","K6716","K6716L1",0.598410008825398,0.143162823384647,"NA","tpu"
"241","SS",34.3777378622275,60.797376697413,NA,"K6716L2","K6716","K6716L2",1.11080868539665,0.27544115749904,"NA","tpu"
"251","SS",43.2766999579409,69.4989289698232,NA,"K6717L1","K6717","K6717L1",0.360727379072067,0.34544770533905,"NA","tpu"
"261","SS",43.6113766332229,71.9036092609541,NA,"K6717L2","K6717","K6717L2",1.86895423473683,0.228912178952477,"NA","tpu"
"271","SS",17.8310184793411,40.7319708560837,NA,"K6718L1","K6718","K6718L1",0.974544513954355,0.186413590727963,"NA","tpu"
"281","SS",11.0430369755388,24.0306217508533,NA,"K6718L2","K6718","K6718L2",0.288631702429888,0.144140988826469,"NA","tpu"
