"Num","V_cmax","V_cmax_se","J_max","J","J_se","V_TPU","V_TPU_se","R_d","R_d_se","cost","citransition1","citransition2","V_cmax_pts","J_max_pts","V_TPU_pts","alpha","alpha_g","gamma_star25","Ea_gamma_star","K_M25","Ea_K_M","g_mc25","Ea_g_mc","Oconc","theta_J","ID","method","Data_point","meanTleaf","vcmax_25"
0,26.662721988557,0.533550531051969,39.3252474977663,38.8130666567315,0.111723285434263,1000,NA,-0.177587101771412,0.0882459809548922,0.108452264525801,575.78333595,1299.717484,5,5,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6702L1","Traditional","Traditional",31.64662144,43.8766386042175
0,40.8105462290487,1.21558489805851,72.5472278121031,70.7145642986997,0.268077843031197,1000,NA,-0.614149391390963,0.231831195868365,0.692928192219239,707.76995,1678.493,5,5,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6704L1","Traditional","Traditional",31.323679,65.9636310045088
0,33.8270355234437,1.16435485831657,64.2324099142491,62.8137756407466,0.264163803764999,1000,NA,-0.485521899468119,0.256175507332736,0.59375869515342,845.6846,1655.215,6,4,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6704L2","Traditional","Traditional",31.407929,54.9373268158384
0,33.1387167574045,0.522241109008935,45.5314856375037,44.8384724150626,0.151360997862072,1000,NA,-0.220027497905163,0.0697167261867382,0.220256360198907,444.73575,1316.845,4,6,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6705L1","Traditional","Traditional",31.432287,53.893115491775
0,39.2806324043791,0.384079764452755,53.5590652174992,52.5884988519031,0.150495611359212,1000,NA,-0.280365084903093,0.0536903039312459,0.228494869307372,510.24685,1082.179,4,6,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6705L2","Traditional","Traditional",31.255683,63.2440903442531
0,46.8853419184258,3.17111993794589,61.3641166793757,60.0749595920129,0.533832550312525,1000,NA,0.177217096737846,0.560838327981549,3.10104215822175,697.65685,1719.854,5,5,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6706L1","Traditional","Traditional",31.742465,77.5539433145524
0,57.9963031428706,0.476931567824094,84.8667261795198,82.311278466312,0.163247142666081,1000,NA,-0.164251686187472,0.0659333617545673,0.19335531396742,530.9265,1506.074,4,5,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6706L2","Traditional","Traditional",31.5478977777778,94.9264412278063
0,108.407381378101,2.00577789415463,121.49804472925,115.957700624607,0.641195017345041,1000,NA,-0.409686580465294,0.166003721091752,5.66215852022874,348.6445,1552.102,3,7,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6707L1","Traditional","Traditional",31.586369,177.812702086898
0,135.547108474605,1.23633494982832,141.411258605526,133.672238991052,0.707214042797391,1000,NA,-0.251236646082415,0.105930293620491,7.12519992511022,353.2345,1576.099,3,7,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6707L2","Traditional","Traditional",30.963169,214.52158053294
0,45.623294784878,0.656760052227369,62.3458790735644,61.0131590627991,0.254536593479668,1000,NA,-0.412793259779384,0.0913436970576264,0.696083386340421,513.3469907,1626.479007,4,6,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6708L1","Traditional","Traditional",31.769786334,75.5761687611294
0,42.6863887014594,1.12520111796281,60.2878369193937,59.0455221159529,0.19351182662783,1000,NA,-0.691540123696753,0.147219441758896,0.425741150153075,490.81470255,1589.964033,4,6,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6708L2","Traditional","Traditional",31.986107762,71.5127011534187
0,105.724329791105,3.21348540520482,121.606608029644,116.055420495617,1.32505151516833,1000,NA,-0.0373218264544995,0.400219693417814,10.3070855498498,420.0388084,693.2097276,5,5,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6709L2-2","Traditional","Traditional",31.823792172,175.635669278254
0,90.4215390991218,8.77953922211591,123.021201273733,117.327719987205,0.389035574928339,1000,NA,-1.42369485334442,0.682263259457858,2.95403721910531,326.94165,859.1567,6,5,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6709L3","Traditional","Traditional",31.9538990909091,151.233697294299
0,103.239781467334,3.14403028071032,124.138343120174,118.330989634716,0.969987095193365,1000,NA,-0.0996782963572494,0.383753172101512,7.04934850558036,507.5093796,1098.519434,6,5,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6709L6","Traditional","Traditional",31.7105586418182,170.479752341008
0,108.574345592336,3.45806417780452,132.325530607615,125.64316490964,1.56724977688235,1000,NA,0.143523552604943,0.535914585432645,5.42756584178901,571.72325,929.6846,10,2,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6709L8","Traditional","Traditional",31.6521391666667,178.725237494027
0,44.2154635292894,0.424730061462811,55.429123766216,54.386663768621,0.122957065178803,1000,NA,-0.290789643323715,0.0477359812693534,0.157307505461316,441.6501191,1459.431702,4,6,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6713L1","Traditional","Traditional",31.81381673,73.4148414336918
0,32.1533318965586,1.06453723461029,48.0108630655531,47.2374451740849,0.115161606408814,1000,NA,-0.0764999308188504,0.184965861901354,0.198022041277139,660.85047875,1474.60782,5,5,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6713L2","Traditional","Traditional",31.692735602,53.0439714239539
0,57.35552556975,0.583616182759324,65.3888261635179,63.9160689326069,0.192892277278219,1000,NA,-0.171677717257582,0.0492347555755273,0.5303777247376,362.3755479,1571.765649,3,7,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6713L3","Traditional","Traditional",31.58442544,94.0660693927152
0,37.4163958148077,0.0537533536561692,34.8649213783976,34.4650080266332,0.206852178435283,1000,NA,-0.371172567954813,0.00466877979301977,0.622892190523572,381.33205,1799.347,3,7,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6714L1","Traditional","Traditional",31.762631,61.957671902392
0,33.1439583830431,3.52342158198224,37.5018832731291,37.0373633610899,0.203933588230166,1000,NA,-0.1238512854015,0.539234616210352,1.01387643675771,592.6135,1813.309,4,6,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6714L2","Traditional","Traditional",31.333192,53.6008548429974
0,37.4419663854022,0.459031494773289,57.4392600623259,56.3164148588564,0.157182902465068,1000,NA,-0.0794174555302422,0.0703175217048608,0.198327921190638,599.101,1536.552,6,5,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6715L1","Traditional","Traditional",31.6511390909091,61.6302308555697
0,47.9689650082306,0.504976494126556,68.4740720182573,66.8514895204147,0.143271901622944,1000,NA,-0.115394748675708,0.0658383128990734,0.217080851388412,483.2427253,1390.918447,4,6,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6715L2","Traditional","Traditional",31.485652184,78.2441136631387
0,62.2379071587393,0.572246700825669,77.3643191069551,75.2648778695695,0.142840079405515,1000,NA,-0.00687752624587912,0.0719470033008983,0.188362933832766,404.99005,1019.768,4,6,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6716L1","Traditional","Traditional",31.524183,101.73579777763
0,57.7671726045976,1.09887139316262,75.7292373079077,73.7225873037104,0.273196570981324,1000,NA,0.0236080745973872,0.121707054391133,1.04061720602793,378.72965,1290.796,4,7,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6716L2","Traditional","Traditional",31.49586,94.2798093995635
0,71.8424846024294,0.338159786200475,86.2739177865418,83.6273424583383,0.341516152286032,1000,NA,-0.155546373218034,0.0290028495554753,1.09713638072563,359.0248645,1271.990167,3,6,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6717L1","Traditional","Traditional",31.2802592588889,115.833938502444
0,72.8753511816423,1.83242488527962,89.4157726201039,86.5592346646088,0.227944761896323,1000,NA,-0.204522384222794,0.242740983152548,0.601201466770243,433.9006457,1157.913528,4,6,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6717L2","Traditional","Traditional",31.385581667,118.205404420665
0,30.6705523498889,0.960443662265743,51.0374802458648,50.1594849168449,0.187548092285072,1000,NA,-0.541282487363174,0.172478301341084,0.346145112471563,698.95045,1604.155,5,5,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6718L1","Traditional","Traditional",31.916703,51.199410024689
0,18.7905300869914,0.276427732820016,30.0329780273825,29.7383600131602,0.143509680290627,1000,NA,-0.535758026122056,0.0549935118047567,0.164575612773694,770.35325,1792.886,5,5,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6718L2","Traditional","Traditional",31.697445,31.006949054214
